,Title,Style Code,Category,Size,Description,Colors,Status,Rating,Picture,Price,Link
0,Nike Air Max 90, CN8490-100,Lifestyle,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle sole, stitched overlays and classic TPU details. Classic colors celebrate your fresh look while Max Air cushioning adds comfort to the journey.", White/White/Wolf Grey/White,Available,4.8 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/zwxes8uud05rkuei1mpt/air-max-90-mens-shoe-6n3vKB.png",$120,https://www.nike.com/t/air-max-90-mens-shoe-6n3vKB/CN8490-100
1,Nike Air Max Genome, CW1648-002,Lifestyle,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Inspired by the early 2000s look, the Air Max Genome adds a fresh face to the Air Max house. Its techy upper features a mixture of materials including sleek no-sew skins, airy mesh and durable plastic details. The low-profile, full-length Air unit adds comfort to match its sleek design that's sure to become your new favorite Air Max. This product is made with at least 20% recycled materials by weight.", Black/Dark Smoke Grey/White/Signal Blue,Just In,5 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0090f15a-bfe6-46fd-9d20-147e1bfa9350/air-max-genome-mens-shoe-hgsQFb.png",$170,https://www.nike.com/t/air-max-genome-mens-shoe-hgsQFb/CW1648-002
2,Nike Air Max 270, AH8050-100,Lifestyle,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Nike's first lifestyle Air Max brings you style, comfort and big attitude in the Nike Air Max 270. The design draws inspiration from Air Max icons, showcasing Nike's greatest innovation with its large window and fresh array of colors.", White/White/Black,Available,4.7 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/awjogtdnqxniqqk0wpgf/air-max-270-mens-shoe-KkLcGR.png",$150,https://www.nike.com/t/air-max-270-mens-shoe-KkLcGR/AH8050-100
3,Nike Crater Impact, DB2477-010,Lifestyle,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Nike Crater Impact is part of our sustainability journey to transform trash into shoes that tread a little lighter. Made from at least 25% recycled material by weight, it brings in unique design choices that reduces waste when compared with traditional methods––like an embroidered swoosh, efficient overlays and of course its Crater foam midsole.", Light Bone/Stone/Volt/Black,Sustainable Materials,3 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0f8a1594-d70f-4e9e-a902-b5a64c39c59a/crater-impact-mens-shoe-RZXRx0.png",$100,https://www.nike.com/t/crater-impact-mens-shoe-RZXRx0/DB2477-010
4,Nike Air Force 1 Crater FlyKnit, DC4831-002,Lifestyle,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Your modern take on the hoops icon, the Nike Air Force 1 Crater FlyKnit updates classic b-ball style with at least 20% recycled materials by weight. The super-airy FlyKnit upper features a linen-like texture while the speckled Crater foam midsole adds a modern twist. It's legendary style that's on-point and lets you give a little back with every step.", Wolf Grey/Pure Platinum/Gym Red/White,Just In,0 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0e951f7f-a468-404e-a14a-809d18a34bb7/air-force-1-crater-flyknit-mens-shoe-8pTBvt.png",$110,https://www.nike.com/t/air-force-1-crater-flyknit-mens-shoe-8pTBvt/DC4831-002
5,Nike Air Force 1 '07, CW2288-111,Lifestyle,"['M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 12.5 / W 14', 'M 13 / W 14.5', 'M 14 / W 15.5', 'M 15 / W 16.5', 'M 16 / W 17.5', 'M 17 / W 18.5', 'M 18 / W 19.5']","The radiance lives on in the Nike Air Force 1 ’07, the b-ball OG that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine.", White/White,Available,4.9 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4f37fca8-6bce-43e7-ad07-f57ae3c13142/air-force-1-07-mens-shoe-5QFp5Z.png",$90,https://www.nike.com/t/air-force-1-07-mens-shoe-5QFp5Z/CW2288-111
6,Nike Air Force 1 Mid '07, CW2289-111,Lifestyle,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15', '16', '17', '18']","The Air Force 1 Mid '07 is everything you know best: crisp overlays, bold accents and the perfect amount of flash to let you shine. The padded, mid-cut collar with classic hook-and-loop closure adds heritage b-ball comfort while perforations on the toe keep you cool.", White/White,Available,4.8 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/04421d64-7214-4718-ba73-93e6d1447bac/air-force-1-mid-07-mens-shoe-S1QClz.png",$95,https://www.nike.com/t/air-force-1-mid-07-mens-shoe-S1QClz/CW2289-111
7,Nike Air Force 1 High '07, CW2290-111,Lifestyle,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15', '16', '17', '18']","The Air Force 1 High '07 is everything you know best: crisp overlays, bold accents and the perfect amount of flash to let you shine. The padded, high-cut collar with classic hook-and-loop closure adds heritage b-ball comfort while perforations on the toe keep you cool.", White/White,Available,4 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6a91c26b-7471-459d-91c5-30665fdc144c/air-force-1-high-07-mens-shoes-CGjvNW.png",$100,https://www.nike.com/t/air-force-1-high-07-mens-shoes-CGjvNW/CW2290-111
8,Nike Air VaporMax 2020 FK, CJ6740-100,Lifestyle,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Designed with sustainability in mind, the Nike Air VaporMax 2020 Flyknit is made from at least 50% recycled content by weight. That’s a lot of trash! As part of Nike’s journey towards lowering our impact, we’re discovering new ways to put our waste to good use. By utilizing leftover materials, recycled polyester, recycled foam, and a Nike Air sole made from at least 75% recycled TPU, the VaporMax 2020 Flyknit marks the next step towards our ultimate goal of zero carbon and zero waste.", White/White/Summit White,Sustainable Materials,4.5 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/15cffa1c-c70d-4e64-a7eb-8b46fc9ab32f/air-vapormax-2020-fk-mens-shoe-kn9vwZ.png",$220,https://www.nike.com/t/air-vapormax-2020-fk-mens-shoe-kn9vwZ/CJ6740-100
9,Nike Air VaporMax Evo, CT2868-100,Lifestyle,"['3.5', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","The Nike Air VaporMax EVO puts Air Max DNA under the microscope to showcase the distinguishing features of 7 Nike icons. From stitched overlays, to classic accents to unbelievable comfort and overt '90s styling, it splices the must-haves of your favorite Air Max shoes onto 1 new design. Evolve your look and feel the comfort of everything Max.", White/Wolf Grey/Dark Grey/Black,Available,5 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a3e3ae35-669d-4f87-8e44-8675397a13a0/air-vapormax-evo-mens-shoe-WhLBpv.png",$200,https://www.nike.com/t/air-vapormax-evo-mens-shoe-WhLBpv/CT2868-100
