,Title,Style Code,Category,Size,Description,Colors,Status,Rating,Picture,Price,Link,Review Dates
0,Nike ZoomX Invincible Run Flyknit, CT2228-700,Mens Shoes & Sneakers,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Get after those long runs with the Nike ZoomX Invincible Run Flyknit. A lightweight and responsive foam delivers a super-soft feel and helps deliver energy with every step. Breathable and secure, it's one of our most tested shoes. Lace up and feel the potential when your foot hits the pavement.", Volt/Barely Volt/Black,Available,4.6 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e871982a-5bac-46ef-97cb-26f06b6ee6b6/zoomx-invincible-run-flyknit-mens-running-shoe-NgvDVX.png",$180,https://www.nike.com/t/zoomx-invincible-run-flyknit-mens-running-shoe-NgvDVX/CT2228-700,"['May 12, 2021', 'May 11, 2021', 'April 30, 2021', 'April 30, 2021', 'April 30, 2021', 'April 22, 2021', 'April 20, 2021', 'April 19, 2021', 'April 17, 2021', 'April 17, 2021', 'April 17, 2021', 'April 16, 2021', 'April 16, 2021', 'April 16, 2021', 'April 16, 2021', 'April 15, 2021', 'April 14, 2021', 'April 14, 2021', 'April 14, 2021', 'April 14, 2021', 'April 13, 2021', 'April 13, 2021', 'April 13, 2021', 'April 13, 2021', 'April 13, 2021', 'April 13, 2021', 'April 12, 2021', 'April 12, 2021', 'April 12, 2021', 'April 11, 2021', 'April 11, 2021', 'April 11, 2021', 'April 11, 2021', 'April 10, 2021', 'April 6, 2021', 'March 31, 2021', 'March 30, 2021', 'March 28, 2021', 'March 28, 2021', 'March 26, 2021', 'March 26, 2021', 'March 23, 2021', 'March 22, 2021', 'March 22, 2021', 'March 22, 2021', 'March 21, 2021', 'March 21, 2021', 'March 19, 2021', 'March 17, 2021', 'March 16, 2021']"
1,Nike Air Max Genome, CW1648-002,Mens Shoes & Sneakers,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Inspired by the early 2000s look, the Air Max Genome adds a fresh face to the Air Max house. Its techy upper features a mixture of materials including sleek no-sew skins, airy mesh and durable plastic details. The low-profile, full-length Air unit adds comfort to match its sleek design that's sure to become your new favorite Air Max. This product is made with at least 20% recycled materials by weight.", Black/Dark Smoke Grey/White/Signal Blue,Just In,4.5 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0090f15a-bfe6-46fd-9d20-147e1bfa9350/air-max-genome-mens-shoe-hgsQFb.png",$170,https://www.nike.com/t/air-max-genome-mens-shoe-hgsQFb/CW1648-002,[]
2,Kyrie 7, CQ9326-005,Mens Shoes & Sneakers,[],"Kyrie Irving is a creative force on and off the court. He needs his shoes to keep up with his playmaking, but also sync with his boundary-pushing style and ethos. Tuned for the next generation of energy return, control and speed, the Kyrie 7 helps players at all levels take advantage of their quick first step by optimizing the shoe's fit, court feel and banking ability.", Black/Arctic Punch/Opti Yellow/Black,Just In,4.5 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/39f00479-ad39-4e23-a5b3-d548782f0cc3/kyrie-7-basketball-shoe-nNMZ3b.png",$130,https://www.nike.com/t/kyrie-7-basketball-shoe-nNMZ3b/CQ9326-005,N/A
3,LeBron 18 Low, CV7562-003,Mens Shoes & Sneakers,"['M 3.5 / W 5', 'M 4 / W 5.5', 'M 4.5 / W 6', 'M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 12.5 / W 14', 'M 13 / W 14.5', 'M 13.5 / W 15', 'M 14 / W 15.5', 'M 15 / W 16.5', 'M 16 / W 17.5', 'M 17 / W 18.5', 'M 18 / W 19.5']","LeBron's high-performance engine needs a light yet strong frame to help harness and direct his force. The LeBron 18 Low brings back the 17's cushioning system to provide an optimal balance of comfort, impact cushioning and responsiveness. The upper combines a mix of lightweight materials, no-sew overlays and a structured heel to provide full-foot containment without sacrificing ankle mobility.", Black/Fierce Purple/Racer Blue/White,Available,4.3 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/62424792-ac4c-42d6-902d-787a3da60f93/lebron-18-low-basketball-shoe-grSm2X.png",$160,https://www.nike.com/t/lebron-18-low-basketball-shoe-grSm2X/CV7562-003,"['April 16, 2021', 'April 16, 2021', 'April 15, 2021', 'April 14, 2021', 'April 14, 2021', 'April 13, 2021', 'April 12, 2021', 'April 12, 2021', 'April 11, 2021', 'April 6, 2021', 'April 1, 2021', 'March 29, 2021', 'March 27, 2021', 'March 26, 2021', 'March 24, 2021', 'March 24, 2021', 'March 24, 2021', 'March 23, 2021', 'March 23, 2021', 'March 22, 2021', 'March 21, 2021', 'March 19, 2021', 'March 18, 2021', 'March 11, 2021', 'March 8, 2021', 'March 8, 2021']"
4,Court Purple,N/A,Mens Shoes & Sneakers,N/A,"Originally created for the hardwood, the Dunk later took to the streets—and as they say, the rest is history. More than 35 years after its debut, the silhouette still delivers bold, defiant style and remains a coveted look for crews across both sport and culture.
Taking after an iconic franchise in Los Angeles, this team-themed edition uses ornate embroidery to mimic classic basketball caps. Shades of Court Purple and Black blend with electric hits of Opti Yellow to give the look a low-key feel.
SKU: DH0642-001",N/A,SNKRS,N/A,N/A,$110,https://www.nike.com/launch/r/DH0642-001,N/A
5,What The Paul,N/A,Mens Shoes & Sneakers,N/A,"Few athletes ever receive the honor of having a single signature shoe—Paul Rodriguez now has 10 to his name. In recognition of that longstanding lineage, this Dunk incorporates details from memorable colorways of each of those styles, resulting in an eclectic tapestry that celebrates the rich stories behind every material, graphic and hue we've seen over the course of P-Rod's run with Nike Skateboarding.
Mismatched makeups on the each shoe highlight some of the most iconic elements from P-Rod's signature line, with ornate embroidery, wild prints, colorful gradients and a range of premium textures blending to turn familiar features into something entirely new.
SKU: CZ2239-600",N/A,SNKRS,N/A,N/A,$150,https://www.nike.com/launch/r/CZ2239-600,N/A
6,Jordan 4 G NRG, CZ2439-101,Mens Shoes & Sneakers,N/A,"Dressed up in timeless seersucker, the Jordan 4 G NRG is an ode to southern sophistication. Staying true to the iconic design of the original Jordan 4, this course-ready version is updated in homage to the colorful outfits seen at Kentucky’s biggest horse race.", Sail/Apricot Agate,Coming Soon,N/A,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/8f5d3cbb-50b8-411c-8a9d-3e9b9dee984c/jordan-4-g-nrg-golf-shoe-3TCCbt.png",$220,https://www.nike.com/t/jordan-4-g-nrg-golf-shoe-3TCCbt/CZ2439-101,N/A
7,Nike Air Max 90, CN8490-002,Mens Shoes & Sneakers,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle sole, stitched overlays and classic TPU details. Classic colors celebrate your fresh look while Max Air cushioning adds comfort to the journey.", Iron Grey/Dark Smoke Grey/Black/White,Available,4.8 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/wzitsrb4oucx9jukxsmc/air-max-90-mens-shoe-6n3vKB.png",$120,https://www.nike.com/t/air-max-90-mens-shoe-6n3vKB/CN8490-002,"['March 9, 2021', 'January 27, 2021', 'January 25, 2021', 'January 21, 2021', 'January 13, 2021', 'January 13, 2021', 'January 13, 2021', 'January 13, 2021', 'January 12, 2021', 'January 4, 2021', 'December 31, 2020', 'December 28, 2020', 'December 28, 2020', 'December 26, 2020', 'December 10, 2020', 'December 10, 2020', 'December 10, 2020', 'December 10, 2020', 'December 2, 2020', 'December 1, 2020', 'November 26, 2020', 'November 20, 2020', 'November 17, 2020', 'November 7, 2020', 'November 3, 2020', 'November 1, 2020', 'November 1, 2020', 'October 30, 2020', 'October 28, 2020', 'October 26, 2020', 'October 21, 2020', 'October 20, 2020', 'October 20, 2020', 'October 8, 2020', 'October 7, 2020', 'September 29, 2020', 'September 27, 2020', 'September 26, 2020', 'September 25, 2020', 'September 24, 2020', 'September 19, 2020', 'September 18, 2020', 'September 13, 2020', 'September 10, 2020', 'September 9, 2020', 'September 7, 2020', 'September 7, 2020', 'September 6, 2020', 'September 4, 2020', 'September 1, 2020']"
8,Nike Air Zoom Pegasus 38 Limited Edition, DJ3128-001,Mens Shoes & Sneakers,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Your workhorse with wings returns. The Nike Air Zoom Pegasus 38 continues to put a spring in your step, using the same responsive foam from as its predecessor. Mesh in the upper combines the comfort and durability you want with a fit that nods back to the classic Peg. This special edition features multiple colors coming together to celebrate the Pegasus legacy.", Dark Smoke Grey/White/Flash Crimson/Volt,Member Access,3 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/43bb2f6e-c564-4e6a-9994-389c767b2681/air-zoom-pegasus-38-limited-edition-mens-running-shoe-bqwJCM.png",$120,https://www.nike.com/t/air-zoom-pegasus-38-limited-edition-mens-running-shoe-bqwJCM/DJ3128-001,"['May 14, 2021']"
9,Nike Air Zoom Pegasus 38, CW7356-003,Mens Shoes & Sneakers,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","Your workhorse with wings returns. The Nike Air Zoom Pegasus 38 continues to put a spring in your step, using the same responsive foam as its predecessor. Breathable mesh in the upper combines the comfort and durability you want with a wider fit at the toes.", Black/White/Chlorine Blue/Metallic Silver,Available,4.8 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e2ff01fa-7e97-4536-b4f8-a9f21992cba3/air-zoom-pegasus-38-mens-running-shoe-lq7PZZ.png",$120,https://www.nike.com/t/air-zoom-pegasus-38-mens-running-shoe-lq7PZZ/CW7356-003,[]
