,Title,Style Code,Category,Size,Description,Colors,Status,Rating,Picture,Price,Link,Review Dates
0,Nike SB BLZR Court DVDL, CZ5605-300,Mens Shoes & Sneakers,"['M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5']","The Nike SB BLZR Court DVDL was designed in collaboration with Nike SB rider Daan Van Der Linden. Built with true-to-your-roots twill fabric, the design is a nod to the look and feel of fishing vests—complete with a custom patch and a fish hook on the Swoosh.", Dusty Olive/Light Bone/Navy/Medium Olive,Just In,0 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ac20647a-a4fd-4061-a9f3-a9a7ea01e287/sb-blzr-court-dvdl-skate-shoe-HLcFRv.png",$75,https://www.nike.com/t/sb-blzr-court-dvdl-skate-shoe-HLcFRv/CZ5605-300,N/A
1,Nike SB Zoom Blazer Mid Premium, DA1839-300,Mens Shoes & Sneakers,"['M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5', 'M 15 / W 16.5']","Styled with slightly distressed suede, the Nike SB Zoom Blazer Mid Premium takes its cues from the well-worn pair of sneakers you've had for years. This pair may look like that faded favorite, but it comes with a responsive Zoom Air unit and a new, grippy outsole that's built to skate.", Light Dew/Green Glow/Arctic Punch/Light Zitron,Available,4 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/27a121e9-08a6-4c1f-8e4b-0927a9c2571e/sb-zoom-blazer-mid-premium-skate-shoe-bcP1Nd.png",$110,https://www.nike.com/t/sb-zoom-blazer-mid-premium-skate-shoe-bcP1Nd/DA1839-300,"['April 28, 2021', 'April 19, 2021']"
2,What The Paul,N/A,Mens Shoes & Sneakers,N/A,"Few athletes ever receive the honor of having a single signature shoe—Paul Rodriguez now has 10 to his name. In recognition of that longstanding lineage, this Dunk incorporates details from memorable colorways of each of those styles, resulting in an eclectic tapestry that celebrates the rich stories behind every material, graphic and hue we've seen over the course of P-Rod's run with Nike Skateboarding.
Mismatched makeups on the each shoe highlight some of the most iconic elements from P-Rod's signature line, with ornate embroidery, wild prints, colorful gradients and a range of premium textures blending to turn familiar features into something entirely new.
SKU: CZ2239-600",N/A,SNKRS,N/A,N/A,$150,https://www.nike.com/launch/r/CZ2239-600,N/A
3,Nike SB Zoom Blazer Low Pro GT, DC7695-100,Mens Shoes & Sneakers,"['M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5', 'M 15 / W 16.5']","Rebuilt using insights from Grant Taylor, the Nike SB Zoom Blazer Low Pro GT is a fresh take on a favorite skate shoe. The updated design has higher taping to give you more durability.", White/White/White/Black,Available,5 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e039906f-d10e-49d2-a729-d2d55f0ebc97/sb-zoom-blazer-low-pro-gt-skate-shoe-wWkbwv.png",$80,https://www.nike.com/t/sb-zoom-blazer-low-pro-gt-skate-shoe-wWkbwv/DC7695-100,"['April 12, 2021']"
4,Nike SB Shane, BV0657-103,Mens Shoes & Sneakers,"['M 4 / W 5.5', 'M 4.5 / W 6', 'M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5']","Shane O'Neill put the same attention to detail into every aspect of his signature shoe as he does in his almost-otherworldly skating. From the low-key perforated ventilation at the toe, to the double lacing option, to the no-break-in remastered sole, the Nike SB Shane gets all the details right.", Summit White/Vast Grey/Vast Grey/Game Royal,Available,4.4 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/da1e3fda-0104-424b-8cc3-9de747564aa2/sb-shane-skate-shoe-Cj0plV.png",$80,https://www.nike.com/t/sb-shane-skate-shoe-Cj0plV/BV0657-103,"['April 12, 2021', 'March 29, 2021', 'March 13, 2021', 'March 8, 2021', 'January 25, 2021', 'January 25, 2021', 'January 19, 2021', 'December 29, 2020', 'November 19, 2020', 'October 26, 2020', 'July 5, 2020', 'June 3, 2020', 'April 7, 2020', 'March 25, 2020', 'March 9, 2020', 'February 12, 2020']"
5,Nike SB Bruin React, CJ1661-003,Mens Shoes & Sneakers,"['M 4 / W 5.5', 'M 4.5 / W 6', 'M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5']","Want a lightweight, flexible shoe you can ride in all day? Us, too. That's why we built the Nike SB Bruin React. It's a durable low-top with springy, responsive Nike React foam—all in a skate-right design.", Photon Dust/Photon Dust/Smoke Grey/Canyon Rust,Available,4.5 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/b7b72bf7-13a7-4e75-8bb5-c113fa53695c/sb-bruin-react-skate-shoe-phlCDx.png",$100,https://www.nike.com/t/sb-bruin-react-skate-shoe-phlCDx/CJ1661-003,"['February 27, 2021', 'January 20, 2021', 'December 15, 2020', 'December 12, 2020', 'October 27, 2020', 'October 26, 2020', 'September 29, 2020', 'September 20, 2020', 'September 18, 2020', 'September 5, 2020']"
6,Nike SB Chron Solarsoft, CD6278-015,Mens Shoes & Sneakers,"['M 4 / W 5.5', 'M 4.5 / W 6', 'M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5']","Get durability and breathability where you need them the most. With suede in high-wear areas, like the toe and heel, and canvas near your midfoot, the Nike SB Chron Solarsoft is designed just right. Thanks to a soft-yet-supportive insole cushioning every step, this flexible low-top will soon enter your daily rotation.", Light Smoke Grey/Light Smoke Grey/Gum Light Brown/White,Available,4.4 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c3aa4549-ee35-4720-ac6a-01977ff0fef8/sb-chron-solarsoft-skate-shoe-MNPbSl.png",$70,https://www.nike.com/t/sb-chron-solarsoft-skate-shoe-MNPbSl/CD6278-015,"['May 27, 2020', 'April 21, 2020', 'April 14, 2020', 'April 2, 2020', 'January 30, 2020', 'January 3, 2020', 'June 22, 2019']"
7,Nike SB Heritage Vulc, CD5010-003,Mens Shoes & Sneakers,"['M 4 / W 5.5', 'M 4.5 / W 6', 'M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5', 'M 15 / W 16.5']","Built from suede and canvas, the Nike SB Heritage Vulc pays homage to classic skate shoes. The modern design combines foam cushioning and flexible rubber for performance you can count on.", Black/Black/White/White,Available,4 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/b936aba8-819b-4d7a-a66a-195c15d5d24c/sb-heritage-vulc-skate-shoe-JH6qWt.png",$70,https://www.nike.com/t/sb-heritage-vulc-skate-shoe-JH6qWt/CD5010-003,"['March 30, 2021', 'January 30, 2021', 'January 3, 2021']"
8,Nike SB Nyjah Free 2, BV2078-100,Mens Shoes & Sneakers,"['M 4 / W 5.5', 'M 4.5 / W 6', 'M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5']","The Nike SB Nyjah Free 2 is a sequel worthy of its predecessor. Inspired by the iconic Nike Air Zoom Spiridon, the original rubber design has been updated with mesh panels to help your feet stay cool through your hottest skate sessions.", Summit White/Summit White/Summit White/Black,Available,3.7 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/9d284f7c-8830-49bf-a9f5-fa68f7cfb9ed/sb-nyjah-free-2-skate-shoe-s4Kt9q.png",$95,https://www.nike.com/t/sb-nyjah-free-2-skate-shoe-s4Kt9q/BV2078-100,"['May 18, 2021', 'May 1, 2021', 'April 11, 2021', 'April 2, 2021', 'April 2, 2021', 'January 21, 2021', 'December 19, 2020', 'December 1, 2020', 'November 23, 2020', 'September 21, 2020', 'September 16, 2020', 'September 16, 2020', 'September 5, 2020', 'August 5, 2020', 'July 29, 2020', 'July 27, 2020', 'July 23, 2020', 'July 17, 2020', 'July 15, 2020', 'July 14, 2020', 'July 14, 2020', 'July 14, 2020', 'July 13, 2020', 'July 13, 2020', 'July 13, 2020', 'July 13, 2020', 'July 11, 2020', 'July 9, 2020']"
9,Nike SB Zoom Stefan Janoski Canvas RM, AR7718-100,Mens Shoes & Sneakers,"['M 4 / W 5.5', 'M 4.5 / W 6', 'M 5 / W 6.5', 'M 5.5 / W 7', 'M 6 / W 7.5', 'M 6.5 / W 8', 'M 7 / W 8.5', 'M 7.5 / W 9', 'M 8 / W 9.5', 'M 8.5 / W 10', 'M 9 / W 10.5', 'M 9.5 / W 11', 'M 10 / W 11.5', 'M 10.5 / W 12', 'M 11 / W 12.5', 'M 11.5 / W 13', 'M 12 / W 13.5', 'M 13 / W 14.5', 'M 14 / W 15.5', 'M 15 / W 16.5', 'M 16 / W 17.5', 'M 17 / W 18.5', 'M 18 / W 19.5']","The Nike SB Zoom Stefan Janoski Canvas RM pairs a minimal look with a modern fit. It has been updated with a new, plush sockliner and a flexible midsole for better boardfeel right out of the box.", White/Gum Light Brown/Black/White,Available,3.3 Stars,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/arbctzw5mdi6ca89cyhe/sb-zoom-stefan-janoski-canvas-rm-skate-shoe-qfDpRn.png",$85,https://www.nike.com/t/sb-zoom-stefan-janoski-canvas-rm-skate-shoe-qfDpRn/AR7718-100,"['May 12, 2021', 'October 25, 2020', 'October 25, 2020', 'September 23, 2020', 'September 2, 2020', 'August 26, 2020', 'August 19, 2020', 'July 20, 2020', 'July 20, 2020', 'June 28, 2020', 'June 15, 2020', 'June 9, 2020', 'May 29, 2020', 'May 15, 2020', 'May 12, 2020', 'April 21, 2020', 'April 16, 2020', 'February 26, 2020', 'December 11, 2019', 'October 21, 2019', 'October 19, 2019']"
